ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,timestamp
0.36,0.19,-0.88,-2.79,30.64,3.55,-0.17,0.89,0.44,3.37,0.76,-0.02,1764277162.646382
0.37,0.22,-0.91,-1.22,22.92,2.92,-0.17,0.90,0.45,4.36,2.86,-1.15,1764277162.6639383
0.37,0.20,-0.89,1.02,18.31,2.78,-0.17,0.89,0.44,4.37,3.71,-1.51,1764277162.6823752
0.38,0.21,-0.91,0.94,13.66,1.27,-0.17,0.90,0.46,4.32,3.08,-1.01,1764277162.6999981
0.38,0.21,-0.81,-0.87,4.21,2.12,-0.16,0.90,0.47,4.39,2.00,-0.64,1764277162.718318
0.39,0.21,-0.78,-2.95,-6.00,3.15,-0.17,0.90,0.46,4.39,1.93,0.93,1764277162.7361898
0.36,0.16,-0.13,5.04,-100.50,-6.51,-0.17,0.91,0.47,6.62,4.37,1.56,1764277162.754716
0.02,0.09,0.86,58.95,-250.14,1.31,-0.15,0.90,0.45,6.24,2.76,-0.40,1764277162.772304
-0.52,0.03,-1.15,-4.09,-250.14,-10.61,-0.19,0.88,0.45,-4.08,6.37,-2.74,1764277162.7918522
-0.36,0.33,-2.00,-21.66,-250.14,-15.60,-0.20,0.90,0.46,-6.21,7.87,-4.87,1764277162.8099937
-0.22,0.27,-0.76,-10.98,-250.14,-5.11,-0.18,0.91,0.47,-0.95,9.54,-6.49,1764277162.8268113
-0.26,0.30,-1.60,-3.67,-218.76,6.59,-0.17,0.90,0.44,2.87,6.34,-5.90,1764277162.8476858
-0.31,0.18,-1.45,0.58,-91.72,3.07,-0.23,0.90,0.49,5.27,0.64,-2.63,1764277162.8636417
-0.33,0.17,-1.29,5.86,6.53,4.27,-0.20,0.90,0.45,12.09,-1.31,-0.12,1764277162.8808885
-0.28,0.18,-1.28,6.56,74.07,1.11,-0.18,0.89,0.44,15.41,-1.34,0.01,1764277162.8986707
-0.27,0.19,-1.32,9.56,143.98,3.02,-0.18,0.90,0.43,18.37,-2.31,3.27,1764277162.9194357
-0.27,0.17,-1.51,10.67,250.13,-1.02,-0.20,0.89,0.42,19.66,-1.98,5.10,1764277162.9349647
-0.24,0.21,-1.22,13.63,250.13,-0.13,-0.18,0.89,0.41,15.34,-0.15,5.34,1764277162.9516764
-0.15,0.20,-0.88,3.13,250.13,1.08,-0.17,0.90,0.40,11.95,1.50,4.24,1764277162.9706483
-0.08,0.18,-0.77,-1.20,250.13,-1.87,-0.16,0.90,0.42,10.48,3.69,2.13,1764277162.988311
0.09,0.25,-0.90,-9.31,245.32,2.43,-0.16,0.91,0.43,11.15,2.28,0.39,1764277163.0070755
0.13,0.24,-0.78,-8.08,213.92,6.85,-0.16,0.91,0.43,9.56,4.64,-2.63,1764277163.0283794
0.25,0.20,-0.55,-7.41,148.97,5.08,-0.16,0.91,0.43,8.21,6.02,-3.66,1764277163.0425308
0.32,0.21,-0.62,1.66,78.06,7.49,-0.17,0.90,0.43,5.59,6.08,-3.80,1764277163.060305
0.35,0.17,-0.78,1.36,41.02,6.32,-0.17,0.90,0.42,4.38,2.48,-3.29,1764277163.0797145
0.36,0.19,-0.84,-2.32,31.23,6.81,-0.17,0.90,0.40,4.01,0.22,-2.27,1764277163.0962276
0.36,0.20,-0.91,-0.85,23.89,9.10,-0.18,0.89,0.40,4.09,0.01,-3.26,1764277163.11402
0.37,0.17,-0.95,-1.04,23.69,6.95,-0.19,0.90,0.41,3.11,0.99,-2.50,1764277163.1323335
0.37,0.17,-0.94,0.68,24.40,8.50,-0.20,0.90,0.42,1.34,1.63,-1.85,1764277163.1536062
0.36,0.15,-0.92,-0.76,23.68,3.55,-0.20,0.91,0.42,1.29,2.29,-1.19,1764277163.1688676
0.36,0.20,-0.74,-1.56,7.72,1.90,-0.18,0.91,0.45,3.36,2.97,-0.51,1764277163.1884422
0.34,0.20,-0.06,3.02,-75.95,5.14,-0.18,0.91,0.44,4.66,4.27,0.60,1764277163.2042284
0.09,0.17,0.73,50.02,-250.14,4.30,-0.17,0.91,0.42,3.67,3.46,-1.01,1764277163.2293322
-0.53,-0.09,0.25,1.69,-250.14,-6.74,-0.19,0.89,0.46,-7.12,6.99,-6.49,1764277163.2482216
